CUSTOMERNAME,ORDERNUMBER,PRODUCTCODE,ORDERDATE,QUANTITYORDERED,PRICEEACH,SALES,ORDERLINENUMBER,STATUS,DEALSIZE,CUSTOMER_ID,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,STATUS_ID
Mini Gifts Distributors Ltd.,10312,S24_3969,2004-10-21,31,35.29,1093.99,15,Shipped,Small,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
"AV Stores, Co.",10332,S24_3969,2004-11-17,41,77.24,3166.84,14,Shipped,Medium,78,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,1
Signal Gift Stores,10346,S24_3969,2004-11-29,22,97.44,2143.68,4,Shipped,Small,85,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA,,King,Sue,1
Mini Gifts Distributors Ltd.,10368,S24_3969,2005-01-19,46,37.34,1717.64,3,Shipped,Small,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Euro Shopping Channel,10380,S24_3969,2005-02-16,43,95.03,4086.29,12,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
"Tokyo Collectables, Ltd",10408,S24_3969,2005-04-22,15,36.93,553.95,1,Shipped,Small,36,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,1
Souveniers And Things Co.,10420,S24_3969,2005-05-29,15,43.49,652.35,3,In Process,Small,21,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,3
Euro Shopping Channel,10104,S24_4048,2003-01-31,26,100.0,2921.62,5,Shipped,Small,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Classic Legends Inc.,10115,S24_4048,2003-04-04,44,100.0,5568.64,1,Shipped,Medium,28,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,,Hernandez,Maria,1
Muscle Machine Inc,10127,S24_4048,2003-06-03,20,96.99,1939.8,7,Shipped,Small,75,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,1
Suominen Souveniers,10141,S24_4048,2003-08-01,40,94.62,3784.8,1,Shipped,Medium,74,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,1
"Australian Gift Network, Co",10152,S24_4048,2003-09-25,23,100.0,2802.09,3,Shipped,Small,29,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,1
"Dragon Souveniers, Ltd.",10165,S24_4048,2003-10-22,24,99.36,2384.64,8,Shipped,Small,27,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,1
L'ordine Souveniers,10176,S24_4048,2003-11-06,29,100.0,2915.66,7,Shipped,Small,71,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,1
"Iberia Gift Imports, Corp.",10184,S24_4048,2003-11-14,49,100.0,5795.72,2,Shipped,Medium,82,(95) 555 82 82,"C/ Romero, 33",,Sevilla,,41101,Spain,EMEA,Roel,Jose Pedro,1
Mini Classics,10195,S24_4048,2003-11-25,34,100.0,3699.88,2,Shipped,Medium,48,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,1
Diecast Collectables,10207,S24_4048,2003-12-09,28,100.0,2980.6,3,Shipped,Small,65,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA,,Franco,Valarie,1
"Clover Collections, Co.",10220,S24_4048,2004-02-12,37,100.0,5032.74,7,Shipped,Medium,76,+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland,EMEA,Cassidy,Dean,1
"Blauer See Auto, Co.",10230,S24_4048,2004-03-15,45,100.0,4737.15,5,Shipped,Medium,73,+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,Keitel,Roland,1
Euro Shopping Channel,10246,S24_4048,2004-05-05,46,100.0,6311.2,1,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Mini Gifts Distributors Ltd.,10271,S24_4048,2004-07-20,22,100.0,3070.54,1,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Mini Gifts Distributors Ltd.,10282,S24_4048,2004-08-20,39,100.0,4797.39,10,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Land of Toys Inc.,10292,S24_4048,2004-09-08,27,100.0,3832.38,4,Shipped,Medium,1,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,1
Marta's Replicas Co.,10305,S24_4048,2004-10-13,36,100.0,4641.48,1,Shipped,Medium,16,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,1
Heintze Collectables,10314,S24_4048,2004-10-22,38,100.0,4000.26,10,Shipped,Medium,79,86 21 3555,Smagsloget 45,,Aaarhus,,8200,Denmark,EMEA,Ibsen,Palle,1
Baane Mini Imports,10325,S24_4048,2004-11-05,44,100.0,5325.76,5,Shipped,Medium,18,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,1
"La Corne D'abondance, Co.",10336,S24_4048,2004-11-20,31,100.0,4618.69,5,Shipped,Medium,63,(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France,EMEA,Bertrand,Marie,1
Muscle Machine Inc,10349,S24_4048,2004-12-01,23,100.0,3182.97,2,Shipped,Medium,75,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,Young,Jeff,1
Reims Collectables,10359,S24_4048,2004-12-15,22,100.0,2603.04,7,Shipped,Small,2,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,1
Mini Gifts Distributors Ltd.,10371,S24_4048,2005-01-23,28,50.32,1408.96,9,Shipped,Small,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Euro Shopping Channel,10383,S24_4048,2005-02-22,21,93.91,1972.11,4,Shipped,Small,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Euro Shopping Channel,10394,S24_4048,2005-03-15,37,100.0,5207.75,7,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Euro Shopping Channel,10412,S24_4048,2005-05-03,31,100.0,4253.2,1,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Baane Mini Imports,10103,S24_4258,2003-01-29,25,100.0,2873.0,15,Shipped,Small,18,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,1
Mini Wheels Co.,10111,S24_4258,2003-03-25,26,86.68,2253.68,3,Shipped,Small,9,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,1
"Corrida Auto Replicas, Ltd",10126,S24_4258,2003-05-28,34,100.0,3576.12,15,Shipped,Medium,26,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart°n,1
Souveniers And Things Co.,10139,S24_4258,2003-07-16,29,100.0,3276.13,4,Shipped,Medium,21,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,1
Signal Collectibles Ltd.,10149,S24_4258,2003-09-12,20,90.57,1811.4,1,Shipped,Small,83,4155554312,2793 Furth Circle,,Brisbane,CA,94217,USA,,Taylor,Sue,1
Classic Legends Inc.,10163,S24_4258,2003-10-20,42,91.55,3845.1,5,Shipped,Medium,28,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,,Hernandez,Maria,1
Rovelli Gifts,10173,S24_4258,2003-11-05,22,100.0,2571.14,3,Shipped,Small,87,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA,Rovelli,Giovanni,1
"Classic Gift Ideas, Inc",10183,S24_4258,2003-11-13,47,100.0,5035.11,12,Shipped,Medium,30,2155554695,782 First Street,,Philadelphia,PA,71270,USA,,Cervantes,Francisca,1
"Australian Collectables, Ltd",10193,S24_4258,2003-11-21,20,100.0,2279.0,4,Shipped,Small,88,61-9-3844-6555,7 Allen Street,,Glen Waverly,Victoria,3150,Australia,APAC,Connery,Sean,1
Canadian Gift Exchange Network,10206,S24_4258,2003-12-05,33,97.39,3213.87,10,Shipped,Medium,32,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,1
West Coast Collectables Co.,10215,S24_4258,2004-01-29,39,90.57,3532.23,7,Shipped,Medium,33,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,,Thompson,Steve,1
Cambridge Collectables Co.,10228,S24_4258,2004-03-10,33,100.0,3406.59,6,Shipped,Medium,34,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,,Tseng,Kyung,1
Euro Shopping Channel,10244,S24_4258,2004-04-29,40,86.68,3467.2,4,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
The Sharp Gifts Warehouse,10257,S24_4258,2004-06-14,46,78.89,3628.94,4,Shipped,Medium,62,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,,Frick,Sue,1
Salzburg Collectables,10269,S24_4258,2004-07-16,48,97.39,4674.72,2,Shipped,Medium,20,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,1
Amica Models & Co.,10280,S24_4258,2004-08-17,21,78.89,1656.69,6,Shipped,Small,37,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,1
Auto-Moto Classics Inc.,10290,S24_4258,2004-09-07,45,100.0,5171.4,1,Shipped,Medium,92,6175558428,16780 Pompton St.,,Brickhaven,MA,58339,USA,,Taylor,Leslie,1
Auto Assoc. & Cie.,10304,S24_4258,2004-10-11,33,100.0,3342.57,10,Shipped,Medium,39,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,1
Mini Gifts Distributors Ltd.,10312,S24_4258,2004-10-21,44,100.0,4884.88,7,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Vitachrome Inc.,10324,S24_4258,2004-11-05,33,100.0,6267.69,3,Shipped,Medium,12,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,1
Mini Wheels Co.,10333,S24_4258,2004-11-18,39,100.0,4424.16,1,Shipped,Medium,9,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,1
"Corrida Auto Replicas, Ltd",10348,S24_4258,2004-11-01,39,50.31,1962.09,2,Shipped,Small,26,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart°n,1
Euro Shopping Channel,10358,S24_4258,2004-12-10,41,100.0,6847.0,6,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Collectables For Less Inc.,10369,S24_4258,2005-01-20,40,86.92,3476.8,3,Shipped,Medium,42,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,,Nelson,Allen,1
Mini Gifts Distributors Ltd.,10382,S24_4258,2005-02-17,33,100.0,4592.61,4,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Petit Auto,10423,S24_4258,2005-05-30,28,78.89,2208.92,4,In Process,Small,57,(02) 5554 67,Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium,EMEA,Dewey,Catherine,3
Rovelli Gifts,10106,S24_4278,2003-02-17,26,63.76,1657.76,3,Shipped,Small,87,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA,Rovelli,Giovanni,1
"Australian Collectors, Co.",10120,S24_4278,2003-04-29,29,85.49,2479.21,9,Shipped,Small,11,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,1
Euro Shopping Channel,10133,S24_4278,2003-06-27,46,77.52,3565.92,4,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Toys4GrownUps.com,10145,S24_4278,2003-08-25,33,84.77,2797.41,15,Shipped,Small,4,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,1
Technics Stores Inc.,10168,S24_4278,2003-10-28,48,78.25,3756.0,10,Shipped,Medium,6,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,1
Osaka Souveniers Co.,10210,S24_4278,2004-01-12,40,71.0,2840.0,8,Shipped,Small,45,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,1
"Australian Collectors, Co.",10223,S24_4278,2004-02-20,23,74.62,1716.26,10,Shipped,Small,11,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,1
"Royal Canadian Collectables, Ltd.",10235,S24_4278,2004-04-02,40,81.14,3245.6,4,Shipped,Medium,58,(604) 555-4555,23 Tsawassen Blvd.,,Tsawassen,BC,T2F 8M4,Canada,,Lincoln,Elizabeth,1
The Sharp Gifts Warehouse,10250,S24_4278,2004-05-11,37,74.62,2760.94,5,Shipped,Small,62,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,,Frick,Sue,1
Gift Depot Inc.,10263,S24_4278,2004-06-28,24,75.35,1808.4,11,Shipped,Small,14,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,1
La Rochelle Gifts,10275,S24_4278,2004-07-23,27,62.31,1682.37,10,Shipped,Small,15,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,1
"Norway Gifts By Mail, Co.",10284,S24_4278,2004-08-21,21,71.0,1491.0,2,Shipped,Small,86,+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway,EMEA,Klaeboe,Jan,1
"Clover Collections, Co.",10297,S24_4278,2004-09-16,23,72.45,1666.35,5,Shipped,Small,76,+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland,EMEA,Cassidy,Dean,1
Mini Classics,10308,S24_4278,2004-10-15,44,83.32,3666.08,8,Shipped,Medium,48,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,1
Technics Stores Inc.,10317,S24_4278,2004-11-02,35,83.32,2916.2,1,Shipped,Small,6,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,1
Rovelli Gifts,10328,S24_4278,2004-11-12,43,60.86,2616.98,4,Shipped,Small,87,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA,Rovelli,Giovanni,1
Enaco Distributors,10340,S24_4278,2004-11-24,40,84.77,3390.8,1,Shipped,Medium,54,(93) 203 4555,"Rambla de Catalu§a, 23",,Barcelona,,8022,Spain,EMEA,Saavedra,Eduardo,1
Gift Ideas Corp.,10353,S24_4278,2004-12-04,35,89.9,3146.5,3,Shipped,Medium,89,2035554407,2440 Pompton St.,,Glendale,CT,97561,USA,,Lewis,Dan,1
Souveniers And Things Co.,10361,S24_4278,2004-12-17,25,62.46,1561.5,1,Shipped,Small,21,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,1
La Rochelle Gifts,10375,S24_4278,2005-02-03,43,100.0,10039.6,2,Shipped,Large,15,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,1
Euro Shopping Channel,10386,S24_4278,2005-03-01,50,63.34,3167.0,8,Resolved,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,6
Reims Collectables,10398,S24_4278,2005-03-30,45,78.25,3521.25,14,Shipped,Medium,2,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,1
Tekni Collectables Inc.,10401,S24_4278,2005-04-03,52,81.14,4219.28,4,On Hold,Medium,13,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,5
L'ordine Souveniers,10416,S24_4278,2005-05-10,48,74.62,3581.76,5,Shipped,Medium,71,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,1
Cruz & Sons Co.,10108,S24_4620,2003-03-03,31,68.71,2130.01,10,Shipped,Small,67,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines,Japan,Cruz,Arnold,1
Marseille Mini Autos,10122,S24_4620,2003-05-08,29,71.14,2063.06,14,Shipped,Small,68,91.24.4555,"12, rue des Bouchers",,Marseille,,13008,France,EMEA,Lebihan,Laurence,1
Mini Gifts Distributors Ltd.,10135,S24_4620,2003-07-02,23,87.31,2008.13,11,Shipped,Small,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Collectables For Less Inc.,10147,S24_4620,2003-09-05,31,64.67,2004.77,11,Shipped,Small,42,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,,Nelson,Allen,1
Corporate Gift Ideas Co.,10159,S24_4620,2003-10-10,23,67.1,1543.3,6,Shipped,Small,5,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,1
"Anna's Decorations, Ltd",10169,S24_4620,2003-11-04,24,94.58,2269.92,6,Shipped,Small,43,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,1
Daedalus Designs Imports,10180,S24_4620,2003-11-11,28,71.14,1991.92,1,Shipped,Small,7,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,1
"Toms Spezialitten, Ltd",10191,S24_4620,2003-11-20,44,66.29,2916.76,7,Shipped,Small,69,0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,1
Auto Canal Petit,10211,S24_4620,2004-01-15,22,92.16,2027.52,6,Shipped,Small,10,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,1
"Vida Sport, Ltd",10225,S24_4620,2004-02-22,46,70.33,3235.18,13,Shipped,Medium,70,0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA,Holz,Michael,1
Danish Wholesale Imports,10238,S24_4620,2004-04-09,22,93.77,2062.94,7,Shipped,Small,49,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,1
Auto Canal Petit,10252,S24_4620,2004-05-26,38,87.31,3317.78,3,Shipped,Medium,10,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,1
Gifts4AllAges.com,10264,S24_4620,2004-06-30,47,83.27,3913.69,1,Shipped,Medium,59,6175559555,8616 Spinnaker Dr.,,Boston,MA,51003,USA,,Yoshido,Juri,1
Online Mini Collectables,10276,S24_4620,2004-08-02,48,75.18,3608.64,7,Shipped,Medium,72,6175557555,7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA,,Barajas,Miguel,1
"Vida Sport, Ltd",10287,S24_4620,2004-08-30,40,88.12,3524.8,16,Shipped,Medium,70,0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA,Holz,Michael,1
"Toys of Finland, Co.",10299,S24_4620,2004-09-30,32,80.84,2586.88,1,Shipped,Small,17,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,1
"Toms Spezialitten, Ltd",10310,S24_4620,2004-10-16,49,97.01,4753.49,14,Shipped,Medium,69,0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,1
Microscale Inc.,10319,S24_4620,2004-11-03,43,85.69,3684.67,2,Shipped,Medium,80,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,,Kuo,Kee,1
Motor Mint Distributors Inc.,10331,S24_4620,2004-11-17,41,100.0,5715.4,2,Shipped,Medium,46,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,,Hernandez,Rosa,1
Reims Collectables,10343,S24_4620,2004-11-24,30,100.0,3098.7,1,Shipped,Medium,2,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,1
Euro Shopping Channel,10355,S24_4620,2004-12-07,28,95.39,2670.92,9,Shipped,Small,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Suominen Souveniers,10363,S24_4620,2005-01-06,43,100.0,5154.41,9,Shipped,Medium,74,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,1
Euro Shopping Channel,10378,S24_4620,2005-02-10,41,100.0,4894.17,2,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Mini Gifts Distributors Ltd.,10390,S24_4620,2005-03-04,30,82.42,2472.6,10,Shipped,Small,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Baane Mini Imports,10103,S32_1268,2003-01-29,31,100.0,3224.31,3,Shipped,Medium,18,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,1
"La Corne D'abondance, Co.",10114,S32_1268,2003-04-01,32,100.0,3667.52,7,Shipped,Medium,63,(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France,EMEA,Bertrand,Marie,1
"Corrida Auto Replicas, Ltd",10126,S32_1268,2003-05-28,43,96.31,4141.33,3,Shipped,Medium,26,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart°n,1
Technics Stores Inc.,10140,S32_1268,2003-07-24,26,100.0,2829.58,3,Shipped,Small,6,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,1
"Oulu Toy Supplies, Inc.",10151,S32_1268,2003-09-21,27,100.0,3068.55,10,Shipped,Medium,61,981-443655,Torikatu 38,,Oulu,,90110,Finland,EMEA,Koskitalo,Pirkko,1
Mini Auto Werke,10164,S32_1268,2003-10-21,24,100.0,2634.96,1,Resolved,Small,64,7675-3555,Kirchgasse 6,,Graz,,8010,Austria,EMEA,Mendel,Roland,6
"Stylish Desk Decors, Co.",10175,S32_1268,2003-11-06,22,100.0,2436.72,8,Shipped,Small,50,(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann,1
"Iberia Gift Imports, Corp.",10184,S32_1268,2003-11-14,46,100.0,4607.36,13,Shipped,Medium,82,(95) 555 82 82,"C/ Romero, 33",,Sevilla,,41101,Spain,EMEA,Roel,Jose Pedro,1
"Saveley & Henriot, Co.",10194,S32_1268,2003-11-25,37,97.27,3598.99,3,Shipped,Medium,31,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,1
Diecast Collectables,10207,S32_1268,2003-12-09,49,80.9,3964.1,14,Shipped,Medium,65,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA,,Franco,Valarie,1
Handji Gifts& Co,10217,S32_1268,2004-02-04,21,100.0,2244.9,3,Shipped,Small,66,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,1
Mini Gifts Distributors Ltd.,10229,S32_1268,2004-03-11,25,100.0,2793.0,8,Shipped,Small,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Super Scale Inc.,10245,S32_1268,2004-05-04,37,100.0,4133.64,1,Shipped,Medium,35,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,1
Handji Gifts& Co,10259,S32_1268,2004-06-15,45,86.68,3900.6,11,Shipped,Medium,66,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,1
Souveniers And Things Co.,10270,S32_1268,2004-07-19,32,85.72,2743.04,1,Shipped,Small,21,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,1
Diecast Classics Inc.,10281,S32_1268,2004-08-19,29,82.83,2402.07,8,Shipped,Small,19,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,1
Scandinavian Gift Ideas,10291,S32_1268,2004-09-08,26,83.79,2178.54,3,Shipped,Small,38,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,1
Marta's Replicas Co.,10305,S32_1268,2004-10-13,28,100.0,3155.04,12,Shipped,Medium,16,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,1
Canadian Gift Exchange Network,10313,S32_1268,2004-10-22,27,87.64,2366.28,6,Shipped,Small,32,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,1
Vitachrome Inc.,10324,S32_1268,2004-11-05,20,98.18,1963.6,11,Shipped,Small,12,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,1
Mini Gifts Distributors Ltd.,10335,S32_1268,2004-11-19,44,100.0,4746.28,1,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
"Corrida Auto Replicas, Ltd",10348,S32_1268,2004-11-01,42,100.0,6386.94,3,Shipped,Medium,26,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart°n,1
Euro Shopping Channel,10358,S32_1268,2004-12-10,41,100.0,4428.0,1,Shipped,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Mini Gifts Distributors Ltd.,10371,S32_1268,2005-01-23,26,100.0,4044.04,1,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Mini Gifts Distributors Ltd.,10382,S32_1268,2005-02-17,26,100.0,2708.42,6,Shipped,Small,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Quebec Home Shopping Network,10411,S32_1268,2005-05-01,26,100.0,2904.72,1,Shipped,Small,44,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,1
La Rochelle Gifts,10425,S32_1268,2005-05-31,41,86.68,3553.88,11,In Process,Medium,15,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,3
